artist_id,total_followers,genres,name,artist_popularity
0f5nVCcR06GX8Qikz0COtT,2995371,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",Omarion,63
0C8ZW7ezQVs4URX5aX7Kqx,51225943,"['pop', 'post-teen pop']",Selena Gomez,83
13y7CgLHjMVRMDqxdx0Xdo,5710395,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Gucci Mane,78
1UTPBmNbXNTittyMJrNkvw,7298822,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",Blake Shelton,74
07QEuhtrNmmZ0zEcqE9SF6,2430925,"['indietronica', 'pop']",Owl City,70
7ExZeMNpyKhYSokWo9riU5,18858,['otacore'],Pinkie Pie,51
23LCsWJ5XxgErIKrzBJNfS,4054,['music box'],Music Box Orchestra,58
2aYJ5LAta2ScCdfLhKgZOY,505828,"['neon pop punk', 'pop punk', 'post-teen pop']",Cobra Starship,60
0YtEZ0PyTeyY3bit3tlhPG,30,['rain'],The Rain Crew,41
3sgFRtyBnxXD5ESfmbK4dl,4244080,"['dance pop', 'pop', 'pop rap']",LMFAO,68
070kGpqtESdDsLb3gdMIyx,959261,"['contemporary country', 'country', 'country road']",Easton Corbin,57
47zz7sob9NUcODy0BTDvKx,4310948,"['british soul', 'sophisti-pop']",Sade,77
67pQ8Yr09zDDzzwWw3EG9R,80291,['singer-songwriter'],Martha Wainwright,46
5YGY8feqx7naU7z4HrwZM6,25089604,['pop'],Miley Cyrus,84
0u2FHSq3ln94y5Q57xazwf,5189047,"['contemporary country', 'country', 'country road']",Keith Urban,70
1w5Kfo2jwwIPruYS2UWh56,9172422,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'permanent wave', 'rock']",Pearl Jam,77
1J1pGfTqp5ReVIX8Z1Wzsg,125380,[],BabyChiefDoit,68
6JINIoM2HUR5ZNTJwoR9eC,174158,"['alt z', 'nyc pop']",EZI,44
1BUKOA8zRAhTbh3xPE6gDm,2575,[],Wanya Morris,45
77tT1kLj6mCWtFNqiOmP9H,2562207,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",Daryl Hall & John Oates,77
0du5cEVh5yTK9QJze8zA0C,62633601,"['dance pop', 'pop']",Bruno Mars,96
0mXTJETA4XUa12MmmXxZJh,1636014,"['acoustic rock', 'grunge', 'permanent wave']",Eddie Vedder,63
4sbB4Yy6Qig51pKCIKSLw3,1474384,"['contemporary r&b', 'r&b', 'urban contemporary']",Jaheim,57
35GL8Cu2GKTcHzKGi75xl5,2001876,"['dance pop', 'r&b', 'urban contemporary']",Jennifer Hudson,61
6vgqbvuLEUcrg7SB1kRTYE,345789,"['country', 'country road']",Jason Michael Carroll,40
0bfX8pF8kuHNCs57Ms4jZb,261671,"['atl hip hop', 'dirty south rap', 'futuristic swag', 'southern hip hop', 'trap']",Roscoe Dash,62
7cTXfwpe9peK0UE1bZyIWZ,374079,"['cartoon', ""children's music"", 'dong-yo']",Pinkfong,70
2TI7qyDE0QfyOlnbtfDo7L,2030810,"['jam band', 'neo mellow', 'pop rock']",Dave Matthews Band,65
4Rxn7Im3LGfyRkY2FlHhWi,10036227,"['dance pop', 'pop']",Nick Jonas,67
6UocZe4AprSYBvmn3J0oqY,129769,"['electronic rock', 'indietronica']",Shiny Toy Guns,43
3bIZpSYfHzYPsXb37hlHhM,46442,"['kompa', 'kompa gouyad']",Kenny Haiti,47
4vl5qyueBkJkgwIGRDZGwJ,144,[],Solomiya Ivakhiv,12
010JjFqFcVyJmc2G56puZ2,509,[],General Larry Platt,6
6Uh8uJyN9g7oFjDK16nJgb,845637,"['gangster rap', 'harlem hip hop', 'hip pop', 'nyc rap', 'pop rap', 'trap']",Juelz Santana,65
6nzxy2wXs6tLgzEtqOkEi2,2663250,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",Monica,65
4YLtscXsxbVgi031ovDDdh,7755671,"['contemporary country', 'outlaw country']",Chris Stapleton,83
6f4XkbvYlXMH0QgVRzW0sM,2722156,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Waka Flocka Flame,67
021hNAnkFIbyFyL97br6NB,910749,"['contemporary country', 'country', 'country dawn', 'country road']",Kellie Pickler,43
533HtQP5btWIZcKlHJtEWK,214252,['post-teen pop'],Christopher Wilde,52
10exVja0key0uqUkk6LJRT,3211197,"['folk-pop', 'modern rock']",Vance Joy,78
0QHgL1lAIqAw0HtD7YldmP,11751577,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",DJ Khaled,77
38wxcfNEqMwuPniHvplin5,506817,['dark r&b'],Neoni,70
0hCNtLu0JehylgoiP8L4Gh,32796950,"['hip pop', 'pop', 'queens hip hop', 'rap']",Nicki Minaj,87
2zwHaEmXxX6DTv4i8ajNCM,161612,"['acoustic pop', 'idol', 'neo mellow']",Kris Allen,41
5eyMzR1hYiEZtN2c9ly2kw,720241,['reggae fusion'],Matisyahu,57
4aJTB79uwT4sP0Nb8QGWHc,798388,"['arkansas country', 'contemporary country', 'country', 'country road']",Joe Nichols,59
30e8DmahrEamvLbFRPdWmk,1875699,"['arkansas country', 'contemporary country', 'country', 'country road']",Justin Moore,64
0p4nmQO2msCgU4IF37Wi3j,11389028,"['canadian pop', 'candy pop', 'dance pop', 'pop']",Avril Lavigne,78
3grHWM9bx2E9vwJCdlRv9O,4586849,"['contemporary country', 'country', 'country road']",Kenny Chesney,71
6gZq1Q6bdOxsUPUG1TaFbF,3372957,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",Godsmack,69
3aQeKQSyrW4qWr35idm0cy,5115551,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",T-Pain,80
5Yu3b48Y29bZlI1cLPOZJz,433062,"['ccm', 'christian alternative rock', 'christian music', 'idol']",Danny Gokey,61
3K2zB87GZv1krx031en5VA,658028,"['alternative dance', 'electropop', 'indietronica', 'neo-synthpop']",La Roux,65
6P7H3ai06vU1sGvdpBwDmE,2324757,"['album rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Steely Dan,69
2IvkS5MXK0vPGnwyJsrEyV,3940775,"['contemporary country', 'country', 'country road']",Eric Church,73
6pn4aZJnNY7FO5BHnRzDRJ,25,[],Overdraver,17
1S9WGrK7SZfXXQtHBYzDle,162040,['indie pop rap'],Sammy Adams,48
20s0P9QLxGqKuCsGwFsp7w,3584753,"['dance pop', 'r&b', 'southern hip hop', 'urban contemporary']",Mario,70
5SAO9wDxBqS41kGI4Lla17,118,[],Music In the Background,6
13UhfW7GPizrArBwq7ugps,109003,"['christian alternative rock', 'christian music']",Rich Mullins,43
6TsHQClbheVZTyc97g5Nc4,3365,[],No More Heroes,47
3xvaSlT4xsyk6lY1ESOspO,636427,['movie tunes'],Disney,85
34A8vV1MCxGpA14KspqQuC,274131,"['gen z singer-songwriter', 'indie pop']",Sarah Kinsley,54
5vngPClqofybhPERIqQMYd,4600349,"['contemporary country', 'country', 'country road']",George Strait,75
61GsjGqw1jFuO63RjJ8JZS,4182,[],Rogerio Tutti,58
7u6LfVyYpEzMpHLL7jTyvU,301236,['neo soul'],Dwele,69
3P33qFNGBVXl86yQYWspFj,1380051,"['contemporary country', 'country', 'country dawn', 'country road']",Martina McBride,58
5Y5TRrQiqgUO4S36tzjIRZ,3026390,"['dance pop', 'pop', 'pop rap']",Timbaland,80
4oUHIQIBe0LHzYfvXNW4QM,11177271,['contemporary country'],Morgan Wallen,90
4wHL1OX8yZPTXoRrIycyYQ,25398,['sad sierreno'],Alejandroo,36
